country,marital_status,live_parents,children,household,highest_ed,employment,income
Albania,1,3,1,4,8,1,5
Albania,1,1,2,4,3,7,1
Albania,1,3,1,5,7,7,4
Albania,1,3,3,6,3,5,3
Albania,1,1,4,6,4,3,3
Albania,1,1,5,4,4,3,4
Albania,1,1,5,2,4,3,3
Albania,1,2,1,5,4,3,4
Albania,1,1,3,5,3,1,5
Albania,1,1,2,2,4,7,4
Albania,1,1,2,2,4,5,2
Albania,6,2,0,6,4,6,2
Albania,1,3,3,5,7,1,8
Albania,6,2,0,5,7,5,3
Albania,1,1,3,2,4,3,0
Albania,5,1,5,5,3,2,3
Albania,1,1,5,6,8,1,10
Albania,1,1,3,5,3,7,2
Albania,1,1,2,2,4,4,5
Albania,1,3,4,6,7,1,8
Albania,1,1,2,4,4,4,4
Albania,1,1,3,2,3,4,5
Albania,1,1,4,2,3,1,6
Albania,6,2,0,4,4,3,9
Albania,1,2,2,6,3,7,4
Albania,1,1,3,2,4,7,1
Albania,1,2,2,6,4,1,10
Albania,5,1,2,2,4,4,5
Albania,1,1,5,6,3,5,0
Albania,1,1,3,3,3,5,2
Albania,1,2,2,6,7,1,8
Albania,1,1,3,4,3,7,2
Albania,1,1,3,6,3,7,2
Albania,6,2,0,6,4,5,3
Albania,1,3,3,6,4,7,0
Albania,1,1,4,5,3,7,3
Albania,1,2,3,6,4,3,5
