"","country","family","friends","leisure","politics","work","religion"
"25","Ethiopia",1.05365853658537,1.57479674796748,1.85644371941272,2.7937033968517,1.09756097560976,1.0739837398374
"26","Finland",1.17548278757347,1.49874476987448,1.49789029535865,2.56818181818182,1.61045531197302,2.77759056444819
"27","France",1.15676832530765,1.55954935622318,1.79978586723769,2.71658615136876,1.45963401506997,2.85991379310345
"28","Georgia",1.11268248175182,1.47171532846715,1.95955882352941,2.70680147058824,1.37625570776256,1.39689071787837
"29","Germany",1.13057671381937,1.48298393683637,1.68633879781421,2.21617161716172,1.72717180127671,2.76412506856829
"30","Greece",1.07083333333333,1.50292397660819,1.72278056951424,2.84576697401509,1.35809018567639,1.71261487050961
"31","Guatemala",1.13549459684123,1.79384871155445,1.63258520365752,2.4954280964256,1.45885286783042,1.7115544472153
"32","Hong Kong SAR China",1.23710843373494,1.75132530120482,1.83760270662156,2.5702519379845,1.90781853281853,2.83824239497827
"33","Hungary",1.10780423280423,1.54329147389293,1.67063492063492,2.86057371581054,1.59335548172757,2.5663775850567
"34","Iceland",1.05860579888957,1.42777777777778,1.65964042157471,2.4223602484472,1.52941176470588,2.71384233395407
"35","Indonesia",1.02375,1.71830985915493,1.74507350641226,2.49905003166561,1.08096280087527,1.02
"36","Iran",1.07004669779853,1.93248663101604,1.70474281897128,2.41231593038822,1.27443105756359,1.40921228304406
"37","Iraq",1.0325,1.58597662771285,1.91617770326907,2.73504273504274,1.26293823038397,1.1675
"38","Italy",1.1010101010101,1.64131868131868,1.71302816901408,2.54074402125775,1.30440528634361,2.18791354212616
"39","Japan",1.082774049217,1.67715355805243,1.63793103448276,2.21146398140976,1.81226053639847,3.25573770491803
"40","Jordan",1.024106400665,1.62916666666667,1.79816513761468,2.64399664147775,1.3978397839784,1.0573566084788
"41","Kazakhstan",1.07131661442006,1.73207249802994,1.87045813586098,2.60935023771791,1.673775671406,2.13837489943685
"42","Kyrgyzstan",1.07166666666667,1.58833333333333,1.82387312186978,2.72222222222222,1.59178541492037,1.64583333333333
"43","Lebanon",1.0325,1.56833333333333,1.65416666666667,2.68033472803347,1.37916666666667,1.46166666666667
"44","Lithuania",1.35927727588603,1.91060291060291,1.9594121763471,2.94725738396624,1.74542897327707,2.54642857142857
"45","Macao SAR China",1.15083251714006,1.45284872298625,1.66306483300589,2.53838582677165,1.92694965449161,2.81008902077151
"46","Malaysia",1.03960396039604,1.70906321401371,1.62528560548363,2.46610814927647,1.51485148514851,1.38080731150038
"47","Mexico",1.03507763082231,1.91369390103567,1.57594936708861,2.85475504322767,1.31012658227848,1.84916522740357
"48","Montenegro",1.11988011988012,1.43643643643644,1.61377245508982,2.71457489878543,1.28456913827655,1.54472361809045
"49","Myanmar (Burma)",1.14333333333333,2.1575,2.0875,2.0875,1.27166666666667,1.21166666666667
"50","Netherlands",1.27791771620487,1.50396659707724,1.53051839464883,2.43509212730318,1.91540404040404,2.88331242158093
"51","New Zealand",1.11341222879684,1.49201596806387,1.57085427135678,2.47405900305188,1.98232848232848,3.03305785123967
"52","Nicaragua",1.22916666666667,1.905,1.695,2.72416666666667,1.33666666666667,1.535
"53","Nigeria",1.01537216828479,1.49878345498783,1.40242914979757,2.24428104575163,1.16421568627451,1.07935222672065
"54","North Macedonia",1.04977375565611,1.53405994550409,1.53059360730594,2.84862385321101,1.41310282074613,1.79200726612171
"55","Norway",1.08110516934046,1.40374331550802,1.52993744414656,2.20338983050847,1.46875,2.72654155495979
"56","Pakistan",1.09131961866533,1.56906077348066,2.25858585858586,2.69638308711156,1.60876132930514,1.14773869346734
"57","Peru",1.12785714285714,2.38071428571429,1.91738505747126,2.87815428983417,1.32568149210904,1.79727793696275
"58","Philippines",1.01916666666667,1.72310258548791,2.34111759799833,1.95993322203673,1.08666666666667,1.15262718932444
"59","Poland",1.06978470675575,1.65875370919881,1.64605067064083,2.65421956684093,1.48603773584906,1.87462686567164
"60","Portugal",1.13497942386831,1.58600823045267,1.63149216817807,2.86044591246903,1.58029801324503,2.19322873658134
"61","Puerto Rico",1.08170515097691,1.76224398931434,1.41763134461264,3.02506714413608,1.39875111507583,1.5204991087344
"62","Romania",1.10045343564702,1.84311670160727,1.7058001397624,3.09449929478138,1.57287661656763,1.75944055944056
"63","Russia",1.22369511184756,1.77510373443983,1.83495415393165,2.70521036500418,1.85330750069195,2.47753128555176
"64","Serbia",1.09248327430146,1.45379473063311,1.61247040252565,3.00756369426752,1.60860900757274,2.15003990422985
