Country,Population,Region,Users,willingness,petition,boycott,demonstration,strikes,identity
Iceland,"354,234",Northern Europe,1307,1.545753785,1.469021066,1.723602484,1.773713577,2.594645081,5.020735786
Indonesia,"275,122,131",Southeastern Asia,6,1.883669609,2.632422243,2.830919395,2.489770223,2.788449466,5.417727487
Iraq,"39,650,145",Western Asia,1,1.801919721,2.632075472,2.766086957,2.568143101,2.764655172,NA
Italy,"62,390,364",Southern Europe,267,1.455223881,1.805998126,2.468095238,1.956624234,2.555287301,5.279688514
Japan,"124,687,293",Southeastern Asia,625,1.213173653,1.584640793,2.621212121,2.443825441,2.608486017,5.554603854
Kazakhstan,"19,245,793",Central Asia,63,1.798676749,2.706984668,2.862010221,2.74829932,2.873396065,NA
Kyrgyzstan,"6,018,789",Central Asia,1,1.936708861,2.714655172,2.880891174,2.701784197,2.885301614,NA
Lithuania,"2,711,566",Northern Europe,86,1.429744526,2.190661479,2.409235669,2.352439969,2.65948633,5.616193481
Malaysia,"33,519,406",Southeastern Asia,8,1.789794364,2.097486672,2.424219345,2.374714395,2.645087586,5.674175382
Mexico,"130,207,371",North America,117,1.704009434,2.450606586,2.771561772,2.539572501,2.642733063,4.976659373
Montenegro,"607,414",Southern Europe,2,1.613537118,1.700828157,2.162393162,2.310869565,2.473023839,4.377777778
Netherlands,"17,337,403",Western Europe,2363,1.524761905,1.539507222,2.239637306,2.161633348,2.631038906,5.337908187
New Zealand,"4,991,442",Oceania,1,1.553642384,1.226783969,2.071044133,2.025613661,2.139186296,5.217948718
Nigeria,"219,463,862",Africa,4,1.695182724,2.590986395,2.709351306,2.291598023,2.348295927,5.191011236
North Macedonia,"2,100,000",Southern Europe,1,1.43956044,2.139053254,2.25739645,2.23655914,2.597322348,4.784482759
Norway,"5,509,591",Northern Europe,322,1.897272727,1.431899642,2.220108696,1.881401617,2.755175518,5.161105815
Pakistan,"238,181,034",Southeastern Asia,4,1.881687243,2.580681818,2.700869565,2.54882924,2.722094361,NA
Peru,"32,201,224",South America,9,1.742619228,2.335055351,2.738148984,2.307246377,2.42369186,5.498533724
Philippines,"110,818,325",Southeastern Asia,9,1.755833333,2.4825,2.814691152,2.511259383,2.835,5.864948454
Poland,"38,185,913",Eastern Europe,781,1.79169992,1.922256098,2.631782946,2.354912414,2.731821736,5.634831461
Portugal,"10,263,850",Southern Europe,123,1.381210479,2.298157454,2.705682782,2.455311973,2.831508003,4.930415264
Romania,"21,230,362",Eastern Europe,558,1.574476987,2.383694839,2.792772011,2.45610119,2.750282912,4.90310323
Russia,"142,320,790",Central Asia,3204,1.753775039,2.441685912,2.787339557,2.475546605,2.810049376,5.613364055
Serbia,"6,974,289",Southern Europe,95,1.538356164,1.972891566,2.304252521,2.274638633,2.393001346,4.902654867
Singapore,"5,866,139",Southeastern Asia,199,1.776556777,2.414536341,2.77593985,2.727959698,2.881227982,4.935141509
Slovakia,"5,436,066",Eastern Europe,33,1.392746914,1.905728789,2.611410948,2.574515648,2.794656489,5.317446043
Slovenia,"2,102,106",Southern Europe,18,1.80061665,1.933206107,2.357418112,2.291586998,2.570605187,4.620646766
South Korea,"51,715,162",Southeastern Asia,106,1.673895582,2.17751004,2.435341365,2.308433735,2.503614458,5.261254019
Spain,"47,260,584",Southern Europe,226,1.370473538,1.948898678,2.618964004,1.945439045,2.494727592,4.654661017
Sweden,"10,261,767",Northern Europe,1669,1.851433536,1.336983993,1.970288625,1.926458157,2.676320273,5.33032491
Switzerland,"8,453,550",Western Europe,1045,1.631262525,1.352472089,2.208066581,2.031629393,2.686538462,5.145503537
Taiwan,"23,572,052",Southeastern Asia,20,1.751430908,2.210139002,2.41782502,2.453802126,2.633687653,3.905115512
Thailand,"69,480,520",Southeastern Asia,22,1.686486486,2.473226238,2.571332887,2.558981233,2.645679839,5.701646091
Turkey,"82,482,383",Western Asia,82,1.799306459,2.403372244,2.559373641,2.415906128,2.561157387,5.606060606
Ukraine,"43,745,640",Eastern Europe,5823,1.699453552,2.323179792,2.703787879,2.485991782,2.757996146,5.453389831
United Kingdom,"67,171,895",Northern Europe,896,1.674202899,1.360380526,2.211473566,2.222222222,2.55505618,5.127102804
United States,"334,998,398",North America,4559,1.596244131,1.459743291,2.043647701,2.059213089,2.31264637,4.851380042
Vietnam,"102,789,598",Southeastern Asia,16,1.964166667,2.716666667,2.9025,2.8825,2.893333333,NA
