country,population,region,users,family,friends,leisure,politics,work,religion,willingness,petition,boycott,demonstration,strikes,identity,marital,parents,children,household,education,income,weights
Chile,"18,307,925",South America,20,1.079,1.701402806,1.427710843,2.948795181,1.674089069,2.418090452,1.474358974,2.311111111,2.711558855,2.254487856,2.351380042,4.95971223,2.482084691,1.239,1.667,3.235,4.821643287,4.664609053,1
China,"1,397,897,720",Southeastern Asia,74,1.145310436,1.729613734,2.077964982,2.363243603,1.723749586,3.248255234,1.896333333,2.406903419,2.581975391,2.65648855,2.705119681,NA,1.861829026,1.400995025,1.400800267,3.445293505,3.834331337,4.133533134,0.3293808
Colombia,"50,355,650",South America,18,1.205263158,1.970394737,1.592105263,2.782894737,1.317763158,1.667763158,1.753289474,2.065789474,2.336842105,2.213157895,2.436842105,4.753737907,3.464473684,1.388157895,1.669736842,3.853289474,4.119492657,4.158367911,0.6578947
Croatia,"4,208,973",Southern Europe,34,1.17071525,1.629130142,1.754409769,3.002050581,1.609972678,2.355281207,1.688715953,1.546648238,2.198257081,2.175839886,2.370639535,4.635748792,3.05495251,1.266937669,1.366891892,2.90349076,4.858203916,5.572056239,0.672495
Cyprus,"1,281,506",Western Asia,35,1.086258776,1.607250755,1.821862348,2.819105691,1.640243902,1.851172273,1.722838137,2.037190083,2.468196038,2.095482546,2.225906736,4.969230769,2.636272545,1.202040816,0.977933801,3.038076152,5.449021627,5.227956989,1
Czechia,"10,702,596",Eastern Europe,219,1.140798226,1.634850166,1.75264624,2.966704289,1.650196519,3.201729107,1.583216783,1.871310508,2.603481625,2.301851852,2.639301875,5.180606958,2.955182073,1.138410228,1.610614525,2.412599319,4.75696767,4.719492868,0.5521811
Denmark,"5,894,687",Northern Europe,189,1.135022355,1.551569507,1.654561825,2.446514423,1.917824773,3,1.778892944,1.586081694,2.096483038,1.922324159,2.149876391,5.112999685,2.796954315,1.061455847,1.769991015,2.454491018,5.121040048,5.518111965,0.297442
Egypt,"106,437,241",Africa,7,1.003333333,1.818181818,2.394449117,2.995730145,1.438963211,1.026666667,1.895907473,2.827467811,2.889361702,2.928388747,2.975234842,NA,2.34,1.255,2.140833333,3.9925,3.5975,4.987421384,0.8333333
Estonia,"1,220,042",Northern Europe,594,1.173508908,1.705157814,1.73515625,2.871715611,1.820306205,3.009360374,1.71350365,2.202982601,2.669527897,2.477599324,2.775107296,5.384704519,3.389017788,1.098221191,1.733641263,2.282742681,5.063650307,4.156723063,0.7668712
Finland,"5,587,442",Northern Europe,605,1.175482788,1.49874477,1.497890295,2.568181818,1.610455312,2.777590564,1.818827709,1.634417808,2.084494774,2.20880069,2.661498708,5.664522059,2.882253995,1.06980656,1.655231561,2.125862069,5.114836547,5.48733536,0.8340284
